Waktu,Senin,Selasa,Rabu,Kamis,Jumat
"07.45-09.25",-,"Keterampilan Menulis (Serdaniar Ita D.)","Profesi Keguruan (Endah N.)","Karawitan (Haryo Widu S.)","Morfologi Bahasa Jawa (Endah N.)"
"09.25-11.05",-,"Literasi Perspektif Global (Ahmad P.)","Profesi Keguruan (Endah N.)","Karawitan/TIK (Haryo W. / Ahmad P.)","Etika Jawa (Serdaniar Ita D.)"
"11.05-12.45",-,"Menulis Huruf Jawa (Suroto Rosyd S.)","Membaca Huruf Jawa (Suroto Rosyd S.)","Teknologi Informasi dan Komunikasi (Ahmad P.)",-
